id,genre,track_name,artist_name,popularity,valence,energy,danceability,acousticness,tempo,speechiness,mode,instrumentalness
2UZXQrEi0A8ySbDuyeuMt3,ambient,Melancholia II,William Basinski,26,0.0737,0.0391,0.153,0.983,69.906,0.0362,1,0.928
477naywDON3t1iAF4COlOV,ambient,Don't Bother They're Here,Stars Of The Lid,42,0.0321,0.00822,0.109,0.942,75.629,0.0529,1,0.885
65AXZTNEBO4i5aQ8TAIMGn,ambient,Bones & Ice (Summer Trees Turn),Slow Dancing Society,0,0.0375,0.077,0.175,0.901,70.559,0.0301,0,0.931
2rptpw6hQQ8YewzB2hKOrj,ambient,Star 6 & 7 8 9,The Orb,20,0.872,0.389,0.495,0.132,98.048,0.0333,1,0.00352
3YMaKoVJ1DGOkKhQEYgoMe,anime,クロイウタ,Eir Aoi,0,0.311,0.529,0.247,0.652,160.523,0.0445,1,0.00023
6w35TFecRlmcd9t6z24Dgb,anime,TURN THE TABLES - ON THE FLOOR,Technoboys Pulcraft Green-Fund,10,0.73,0.954,0.653,0.00248,148.005,0.0584,0,0.559
6OKHlCt9rRE0Fe9S7r8hgN,anime,Gospel of the Throttle,Minutes Til Midnight,44,0.37,0.969,0.429,0.000478,184.998,0.0637,1,0.162
4xvfH6Gl07mbwK0lCjt8lD,anime,ミライノナマエ,i☆Ris,10,0.338,0.993,0.415,0.0121,182.031,0.227,0,0.000577
2RAIXsAZhfjdiz7JgEmkcB,anime,Shall We Go?!,Various Artists,22,0.788,0.926,0.552,0.0673,134.006,0.0526,1,3.79e-06
1h25dS1UKqJ1FRI1E9Hqfy,anime,All Alone With You (TV Edit),EGOIST,0,0.532,0.423,0.35,0.815,143.199,0.0391,1,9.55e-05
0lXSwyeudHgFmEs7UsBjuU,anime,love come down,Kalafina,0,0.465,0.995,0.531,0.085,138.968,0.112,1,4.9e-05
4tsEtjUVBFLT2pMDVlCHoQ,anime,shining glow,チーム“ハナヤマタ”,4,0.549,0.956,0.444,0.0185,176.107,0.0853,1,6.28e-06
51YU4azIzoxPINGz5esI7g,anime,フェアリーテイル,Sangatsu no Phantasia,0,0.519,0.844,0.659,0.38,138.042,0.0255,1,0.0
6Q68eDlKoqv3XZnZNnDkFg,anime,Falling Down,Oasis,0,0.182,0.96,0.445,0.00118,130.968,0.0698,0,0.138
7tKiknZ0bQs7Iqd5snR33n,anime,Prologue ~Candy Lips~,Luna Haruna,0,0.263,0.6,0.488,0.000143,138.002,0.0292,1,0.841
64leWKgrhW8rrcjcTvp4ye,anime,Brave Freak Out,LiSA,23,0.284,0.992,0.555,0.0167,100.009,0.249,0,8.87e-06
0Hyr4k3HDumDcHwhMa9VkD,anime,名前のない怪物,EGOIST,0,0.251,0.9,0.344,0.000229,180.059,0.158,1,0.000965
2upQ0vEO5JMgc4dCfgLCnH,anime,MEMORIA,Eir Aoi,0,0.411,0.824,0.518,0.252,128.046,0.0367,1,0.0
5sVXHdGKRCHKApJcUmgzUE,anime,BRIGHTEST LOVE!,Various Artists,1,0.494,0.94,0.49,0.126,91.059,0.114,1,3.06e-05
07GlCRcqIspQBItqqC0Jko,anime,真夏の花火と秘密基地,i☆Ris,8,0.543,0.92,0.582,0.121,139.972,0.047,1,0.000227
3sL1PSJYNoPcva2jv9YrsM,anime,言の葉 青葉,Various Artists,1,0.23,0.236,0.508,0.886,100.07,0.0262,1,0.0
09sXqqsESgwKS8Xpww40gr,anime,CRAZY GONNA CRAZY,Prizmmy☆,17,0.602,0.958,0.626,0.115,133.977,0.0949,1,8.22e-06
3uREGFSBnGZjDueSyhTSBk,anime,Surprise Reprise,Lisp,1,0.207,0.279,0.536,0.739,99.961,0.15,0,0.877
1eT6eSITAnHijL5JobbOvq,anime,Mach 1.67,Wataru Hatano,5,0.863,0.891,0.559,0.464,125.191,0.0515,0,1.13e-05
5vUeRqUTdBvN28UqyDahcb,anime,花雪,チーム“ハナヤマタ”,18,0.546,0.947,0.515,0.00828,146.086,0.0436,0,0.0
3dEcyKSZQEwPDtfydYqQ3t,anime,Delusion,Mashiro Ayano,0,0.453,0.91,0.598,0.0466,128.031,0.0539,0,0.0
7umZyNubk0B6hCjNiOYG37,anime,reunion,ClariS,0,0.852,0.963,0.676,0.219,134.986,0.0418,1,3.69e-05
3VSYyYaOnIQHj4kC0SrJig,anime,Hello!!CrazyWorld,南那城メィジ(CV.木村昴),16,0.642,0.9,0.372,0.00984,89.359,0.205,0,0.0
1LnUR1zecpEatnEwWF7Phc,anime,わんわんわんわんN_1!! - Special ver.,Various Artists,3,0.736,0.957,0.609,0.0882,144.949,0.144,0,0.0
6eZ36FW9lkfYsTwr1Bje9p,black-metal,Dream Of A Dead Sun,ColdWorld,0,0.0334,0.284,0.253,0.922,150.166,0.0636,1,0.873
2EzVKCIL9oxvRDuqkx1yRF,black-metal,Assassins,Nachtmystium,0,0.0306,0.983,0.155,7.07e-05,140.689,0.171,1,0.753
2lzcN10cVIptms7ILFJTQ2,black-metal,Drømmer Om Død,Gorgoroth,0,0.0323,0.969,0.203,0.000547,121.703,0.0874,0,0.899
6ixJuMvi8lofwCPSTOmlar,black-metal,Vinder Fra En Ensom Grav,Dimmu Borgir,0,0.105,0.865,0.093,1.1e-06,169.97,0.0669,0,0.4
5Jiu0rM0vclGQ7RWTzGys8,black-metal,Batttlefields,Immortal,15,0.0382,0.977,0.196,1.36e-05,109.576,0.0864,0,0.892
3vrxTCAEKTKQ4vCGJfOEI1,black-metal,Nexion 218,Dissection,0,0.18,0.717,0.577,0.000477,131.949,0.0375,1,0.921
3gYUIy8C0LajfOgwD427zz,black-metal,Forgotten Centuries - Wrath of the Tyrant EP,Emperor,0,0.264,0.64,0.157,0.0185,108.003,0.0538,0,0.909
0sz5mosH0X28BwXGwzv1m7,black-metal,Satan's Mayhem,Dark Funeral,0,0.0366,0.951,0.168,0.0,114.064,0.0911,0,0.756
4yjWaO7kmAf9cUgKeblWMG,black-metal,Dreams Of Blood And Iron,Marduk,0,0.34,0.947,0.165,2.01e-06,110.376,0.0646,1,0.0
4oYlzbbhhQQ809iw47PGtW,black-metal,Knokkelmann,Carpathian Forest,0,0.281,0.921,0.235,0.000136,122.824,0.0666,1,0.904
6UHmnBVQQoLNDbEJQmu3Fk,black-metal,The Cult of Goliath,Darkthrone,0,0.0395,0.998,0.201,0.00118,146.855,0.155,1,0.526
5yzYXpGTh9NFtQB1GH8eyh,black-metal,Den siste,Satyricon,20,0.167,0.882,0.573,0.000106,132.992,0.038,1,0.933
0nWdIufkCfiIXLsmKU1lHX,black-metal,Feeble Screams from Forests Unknown,Burzum,33,0.0546,0.847,0.152,0.000178,136.402,0.0648,1,0.86
2ioXUTT3HXCHoTkQBvehd8,black-metal,Total Destruction,Bathory,0,0.27,0.971,0.29,1.33e-06,119.791,0.0953,1,0.847
4HJZmcBxQ7eeYfNDX8dVDV,black-metal,Unhallowed,Dissection,0,0.036,0.967,0.0871,1.83e-05,165.615,0.16,0,0.137
7nDigc5PEMVbJzw3oCMrCo,black-metal,Blacker Than Darkness,Immortal,25,0.166,0.846,0.121,0.000657,186.27,0.0856,1,0.138
1J1Z0XIL18hClKmm5T5ytO,black-metal,Heavenly Perverse,Dimmu Borgir,0,0.0399,0.981,0.138,1.56e-05,97.579,0.116,1,0.814
5s5q1YUpkTSseqacmahFyl,black-metal,Tyster På Gud,Darkthrone,0,0.0398,0.996,0.0711,0.0122,187.186,0.136,1,0.00183
6HK5nD9HgDhCtl2C7WS5H1,black-metal,Einfuhlungsvermogen,Burzum,20,0.0537,0.0224,0.272,0.87,110.283,0.0375,0,0.853
04nS2ilQopx5fVW5gRZv5d,black-metal,Lord of the Storms - Wrath of the Tyrant EP,Emperor,0,0.0399,0.945,0.194,0.181,109.406,0.0783,1,0.959
5yTI9MgIGD8UVCB2OT5I01,black-metal,Materialized In Stone,Marduk,0,0.109,0.988,0.197,1.87e-06,118.859,0.151,0,0.474
7i3N24oydaFTWrtxsu1IVE,black-metal,Sympozium,Dimmu Borgir,0,0.267,0.926,0.188,3.03e-06,135.186,0.0598,0,0.946
2Ei91bD1R6VKeDm5P8402g,black-metal,Blood Fire Death,Bathory,0,0.036,0.937,0.332,0.00283,124.074,0.108,1,0.843
0hnINRVnDhz8PHrJwKZlYl,black-metal,Summer Of The Diabolical Holocaust,Darkthrone,0,0.085,0.948,0.141,0.0193,140.763,0.076,0,0.876
19BzVRgeqeNovo6x68jwtw,black-metal,Black Lava,Satyricon,19,0.278,0.828,0.252,3.2e-06,125.151,0.0383,0,0.523
0qmQKSzoJlwdIF7G8MB8S4,bluegrass,Foggy Mountain Top (with Mother Maybelle Carter),Earl Scruggs,8,0.835,0.53,0.568,0.358,112.35,0.0286,1,0.000189
